,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,MONTHLY_AVG_PURCHASE,MONTHLY_CASH_ADVANCE,LIMIT_RATIO,PAYMENT_MIN_RATIO,labels
count,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0
mean,0.4003178447920773,0.42909405192769545,0.3717109359198376,0.26039931784371595,0.0017370837444319787,-0.7455706675291076,0.08710538795642427,0.0051882647771510125,-0.053156251312886975,-0.6407553765945638,-0.694702717499454,0.15684345408455322,-0.4194763126765499,-0.22340036172482536,0.4131438188705504,-0.5174242361959952,0.19011209034697543,0.26218361016159414,-0.7506828852007491,0.6114254439803614,-0.5825425278246558,1.0
std,0.44065464321403375,0.23569768981511008,0.3983442362682573,0.8665110213127419,0.9264540712099344,0.47702633184316967,0.7732036317256739,0.7872577626706688,0.9348602422092204,0.22318375866064347,0.3046365691160946,0.6429710024550056,0.9377421338050257,0.8600307843825605,0.8844650069008639,0.15573656872171185,0.6235028295402706,0.5489625805512867,0.3787324635241722,0.8927919609309467,0.541317868224898,0.0
min,-1.3823979047113042,-1.6974894720175686,-1.6798546150864755,-0.9870895765852097,-1.0874537591097875,-0.9307329425951407,-1.0141507891799908,-0.7324799891645353,-0.9582564749087101,-0.7243603600361622,-0.8100687325890296,-1.379210082932177,-3.7550216923732407,-4.161996346159989,-1.1149215490245719,-0.5563680980605408,-4.401424793088438,-1.5233734228874574,-0.8906673735903238,-1.1603799613995445,-1.4435277087415088,1.0
25%,0.1931301262667131,0.4927100324032893,0.12358953301014508,-0.9870895765852097,-1.0874537591097875,-0.9307329425951407,-0.4981011435179773,-0.7324799891645353,-0.9582564749087101,-0.7243603600361622,-0.8100687325890296,-0.3701003354274451,-1.2249637011054015,-0.493426562106145,-0.24552364831429377,-0.5563680980605408,0.3472621509974969,-0.10256751667083178,-0.8906673735903238,-0.14531840280540928,-0.9227932669405428,1.0
50%,0.4355218211426991,0.4927100324032893,0.41774827179201346,0.5968206651765663,0.34342032341696205,-0.9307329425951407,-0.04673847876572854,-0.3630418540307513,-0.411304498443291,-0.7243603600361622,-0.8100687325890296,0.2201910259750176,-0.6021063591879545,-0.1425447656772266,0.27178193734281697,-0.5563680980605408,0.3472621509974969,0.31718407319253517,-0.8906673735903238,0.7959339291913854,-0.7053511448763593,1.0
75%,0.6608999581807176,0.4927100324032893,0.6532153066236857,0.9664963433088676,0.8151386155100944,-0.9307329425951407,0.85311421442898,0.2974458686812209,0.70939064659221,-0.7243603600361622,-0.8100687325890296,0.5418093990970465,0.24330497184046584,0.2229580480537579,0.8415145591291755,-0.5563680980605408,0.3472621509974969,0.6552347171047195,-0.8906673735903238,1.438383373688255,-0.3363136578607263,1.0
max,1.6181953209283038,0.4927100324032893,1.454014789693189,1.8287046005913086,1.8433549552423534,1.188892783835468,1.1968202744632475,2.4667619353593593,1.5011392159124561,0.8145728633829331,1.2502938794159406,2.4775348118808505,2.0782085870768783,1.6866109298270193,4.4796450864210975,1.0896561685016506,0.3472621509974969,1.800549567455379,1.2000461934794715,3.2508898599754374,1.6534643464086132,1.0
