,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,MONTHLY_AVG_PURCHASE,MONTHLY_CASH_ADVANCE,LIMIT_RATIO,PAYMENT_MIN_RATIO,labels
count,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0
mean,-1.671208558658871,-2.201321139993812,-0.17739448666561958,-0.11910669097881169,-0.46897973566331125,-0.5718403518250891,-0.6536709722070817,-0.37390003382558434,-0.6068245952161605,-0.567185570633542,-0.5972448500116702,-0.5449680841107998,-0.22248061483890164,-1.0034083879137283,-0.9628475882522042,0.027085246327765686,-0.17661432693097076,-0.3227756649525243,-0.5687870965526736,-1.102204418014426,0.18932803376678992,0.0
std,0.7992683020272859,1.1852720517324018,0.7244201355244,0.8602573465854507,0.7750547125309115,0.6987838654146351,0.5817056144251064,0.47645992240073676,0.5873005985890066,0.33057569530837533,0.4541254400248692,0.5356998795635858,0.9704578654495678,1.5497247351761605,0.9764992969639895,1.0513090436588284,1.214180335055437,0.6977088044718935,0.6510546956140869,0.1497750373710757,1.3817634015456646,0.0
min,-3.0606332701049377,-4.172393457426676,-1.6798546150864755,-0.9870895765852097,-1.0874537591097875,-0.9307329425951407,-1.3027987264149463,-0.7324799891645353,-0.9582564749087101,-0.7243603600361622,-0.8100687325890296,-1.379210082932177,-2.913352253169547,-4.161996346159989,-4.987855274070191,-0.5563680980605408,-4.401424793088438,-1.5233734228874574,-0.8906673735903238,-1.1829537904522467,-1.4435277087415088,0.0
25%,-2.2236813786519956,-3.0480667667884176,-0.36077279209583807,-0.9870895765852097,-1.0874537591097875,-0.9307329425951407,-1.0141507891799908,-0.7324799891645353,-0.9582564749087101,-0.7243603600361622,-0.8100687325890296,-0.874655209179811,-0.9529070811208714,-1.3751349411564762,-1.4137383281835132,-0.5563680980605408,0.3472621509974969,-0.7201600695930804,-0.8906673735903238,-1.1774464236641706,-0.8314424611659158,0.0
50%,-1.6425644704067042,-2.236202253711267,-0.015950731460609678,0.06066302485734187,-1.0874537591097875,-0.9307329425951407,-0.7469013740517891,-0.3630418540307513,-0.9582564749087101,-0.7243603600361622,-0.8100687325890296,-0.5795095284785797,-0.1075973370729475,-0.6024973786301306,-0.9737184854767349,-0.5563680980605408,0.3472621509974969,-0.2784581897983943,-0.8906673735903238,-1.1587652871270155,-0.017485295627847935,0.0
75%,-1.0851437718639758,-1.4434828538927467,0.30967310152327443,0.7067894863891788,0.36268702366630157,-0.9307329425951407,-0.4981011435179773,-0.24618578151087725,-0.411304498443291,-0.7243603600361622,-0.8100687325890296,-0.20766994615421228,0.5155037993894478,-0.028580293075039623,-0.6035737394362531,0.23309315180585455,0.3472621509974969,0.1790669968474408,-0.8906673735903238,-1.1024496350852446,0.9068164818865423,0.0
max,0.2618028974057749,0.4927100324032893,1.132462227467489,1.5397883391190232,1.1625342405247154,1.5322839586189798,1.1968202744632475,2.4667619353593593,1.5011392159124561,1.8630461685247137,2.3388263720545313,1.2492450022815758,2.3772703692893606,2.299401787128516,3.128203092064814,2.7192976514971123,0.3472621509974969,1.3331603470578288,1.702404019347101,0.48422358403124866,7.693497756152055,0.0
