,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,MONTHLY_AVG_PURCHASE,MONTHLY_CASH_ADVANCE,LIMIT_RATIO,PAYMENT_MIN_RATIO,labels
count,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0
mean,0.7789589569470048,0.3915199126361673,0.6114802988570777,0.5570708287981748,0.3754030175398306,1.1364434915062105,0.4729516275874439,0.37598955828965797,0.3066403586711898,1.0568596329522093,1.139472125652706,0.564278086895533,0.35275788685524945,0.4486403476226117,0.7411835852377021,-0.41161301568155967,-0.056259661109855356,0.612214560205104,1.149513199088463,0.634453935608215,-0.22057155604017084,5.0
std,0.44616710453784636,0.3086069863202117,0.34319003432181155,0.8424028759727963,0.9014726147496197,0.29543306538578623,0.6956219376949424,0.9508001097904928,0.9410173037324575,0.9845348459214739,0.7610262084748735,0.6650998779505577,0.9489791992537782,0.7635634787325349,0.8017561536433644,0.378264714929513,1.0761494196563066,0.4870165363048483,0.43468347076838854,0.6769757315285652,0.7923487342048594,0.0
min,-1.312237818730498,-2.08495281715517,-0.6640890966806932,-0.9870895765852097,-1.0874537591097875,0.21448387336195834,-1.0141507891799908,-0.7324799891645353,-0.9582564749087101,-0.2135834173806131,-0.12328119525403941,-0.874655209179811,-2.913352253169547,-4.161996346159989,-1.5800324400625636,-0.5563680980605408,-4.401424793088438,-1.060056519041989,-0.1625648414751328,-1.1098038581978213,-1.4435277087415088,5.0
25%,0.47245807639005855,0.4927100324032893,0.36957637425580575,0.4021602207353907,-1.0874537591097875,0.9608768089393508,-0.04673847876572854,-0.3630418540307513,-0.9582564749087101,0.2593277715691047,0.5635063420809507,0.13445453832492082,-0.3299684960135217,0.06481418547708923,0.1911542797584623,-0.5563680980605408,0.3472621509974969,0.2672880395076139,0.8869975018392664,0.1314960845308397,-0.7842554970655107,5.0
50%,0.8154442356312843,0.4927100324032893,0.6086111389985311,0.8537148298453564,0.7117359752912049,1.1599223588205576,0.6409245534706262,0.2974458686812209,0.4803977786568747,0.8145728633829331,1.1179876407561755,0.48786481188274256,0.5155037993894478,0.474185024552467,0.7642833901787227,-0.5563680980605408,0.3472621509974969,0.6166671209703888,1.1802401576607493,0.7207384911396361,-0.5331249963687333,5.0
75%,1.1233673153884822,0.4927100324032893,0.8506487636532729,1.1411802591450142,1.0380509815626664,1.3493809402991275,1.1968202744632475,1.1389565674169266,1.1924084603307445,1.5516981314207579,1.6520388347195412,1.0198915804286148,1.088868730947728,0.8965172292348729,1.2618660741395757,-0.5563680980605408,0.3472621509974969,0.9428442931387923,1.4555235247509983,1.219226556753721,0.2945144042259796,5.0
max,1.7572329319102622,0.4927100324032893,1.7498528754582319,2.09451630225755,2.024886352029047,2.0868049065152308,1.1968202744632475,2.4667619353593593,1.5011392159124561,4.4504526970855895,3.9659866255656473,2.8807182067141377,2.701445249222329,2.5053422012496194,3.7421927036821083,2.7192976514971123,0.3472621509974969,2.2310621940323965,2.5157153223171993,2.5421454206717327,3.2156455930241283,5.0
