,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,MONTHLY_AVG_PURCHASE,MONTHLY_CASH_ADVANCE,LIMIT_RATIO,PAYMENT_MIN_RATIO,labels
count,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0,1389.0
mean,-1.0502962238112954,-0.03330305777545136,0.4040018508384117,-0.7430647493638945,0.8638769833243121,-0.8744330365831483,0.8210741286814127,-0.6353505323611941,1.0229296586398668,-0.6965731700892848,-0.776742789206093,0.4525547631728822,-0.33884531326938705,-0.3049566768930793,-0.8517918753755958,0.9698491153319607,-0.14227837173924288,0.32190178892620747,-0.8427201874026361,-0.995185195723188,0.22245749716937258,2.0
std,0.5736260145903502,0.7601155811868701,0.28298401922914745,0.5637245600858855,0.2707094940204062,0.2948566878594104,0.45403574727935103,0.25932502788005524,0.5024823396528604,0.1615346959657991,0.18128241885426533,0.37976124014647694,0.8649925797059033,0.5954410062347886,0.5460100949377372,1.2116759211758985,1.2083820643219256,0.3946197123829049,0.2611006837340063,0.2687999229429397,0.8265301473640002,0.0
min,-2.8124663048764864,-3.0480667667884176,-0.8004561677014159,-0.9870895765852097,-0.25543461272207685,-0.9307329425951407,-0.7469013740517891,-0.7324799891645353,-0.6742533957391812,-0.7243603600361622,-0.8100687325890296,-1.379210082932177,-2.913352253169547,-4.161996346159989,-4.807609056855131,-0.5563680980605408,-4.401424793088438,-1.1772689801304408,-0.8906673735903238,-1.1824781552724535,-1.4435277087415088,2.0
25%,-1.4330458680226867,-0.49397744416697487,0.22047671467827573,-0.9870895765852097,0.687643266282036,-0.9307329425951407,0.5393351969939054,-0.7324799891645353,0.6722360735653292,-0.7243603600361622,-0.8100687325890296,0.2201910259750176,-0.9529070811208714,-0.6811566752737075,-1.0327710863148762,-0.17810478619228276,0.3472621509974969,0.056272607991579196,-0.8906673735903238,-1.1469335535979506,-0.36784937648612326,2.0
50%,-1.059835799361718,0.4927100324032893,0.4062291983846251,-0.9870895765852097,0.8626103178528969,-0.9307329425951407,1.0433429335195492,-0.7324799891645353,1.1924084603307445,-0.7243603600361622,-0.8100687325890296,0.48786481188274256,-0.3299684960135217,-0.3097101124145076,-0.7526978653202296,0.9093566869262323,0.3472621509974969,0.31333046003669224,-0.8906673735903238,-1.097023502038923,0.08695886854649773,2.0
75%,-0.6727927204320687,0.4927100324032893,0.5940815741005674,-0.9870895765852097,1.0376435150539753,-0.9307329425951407,1.1968202744632475,-0.7324799891645353,1.5011392159124561,-0.7243603600361622,-0.8100687325890296,0.6390094120772869,0.24330497184046584,0.1021507716991162,-0.636236811063254,2.0882567678603414,0.3472621509974969,0.5836713497486284,-0.8906673735903238,-0.9600444434330302,0.6869558003394431,2.0
max,0.9721166382402937,0.4927100324032893,1.2809952919957617,1.1672020536354608,1.7467213166033884,1.1742263136638558,1.1968202744632475,2.4667619353593593,1.5011392159124561,1.4983009873172826,0.965251297384551,1.965664109571502,2.2949882464510107,1.4945983539862788,2.101110143865014,2.7192976514971123,0.3472621509974969,1.548953343716186,1.2615374358973306,0.9094989885888559,7.951544886836647,2.0
