,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,MONTHLY_AVG_PURCHASE,MONTHLY_CASH_ADVANCE,LIMIT_RATIO,PAYMENT_MIN_RATIO,labels
count,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
mean,0.5649689781459247,0.2207664898612936,-1.482583508490937,-0.8399748273597302,-1.05457226762959,1.0139179795156184,-1.2517056140875136,-0.683812750932959,-0.9470920137606345,0.8090364047943432,0.8908440213016583,-1.2929406939521504,-0.10044266313700262,0.0359677329093159,0.34068793242492534,-0.4247250838866141,-0.08649111140532868,-1.386254872807892,0.9780759505131533,0.6441461275051494,-0.2933920656688235,3.0
std,0.5123645275061555,0.6303806060560543,0.5129587605554196,0.42906712403645025,0.20658761241557064,0.3771536096739477,0.1419299225938952,0.14624753656409156,0.07522690388621638,0.922247581595446,0.7496596109092921,0.23035852796634293,0.9723570408283891,0.8707630597686955,0.8079081760150262,0.3620343250746967,1.0947794786094207,0.3701575223700637,0.5490833034601538,0.7934914133558565,0.8512597043384396,0.0
min,-1.867940957677732,-3.0480667667884176,-1.6798546150864755,-0.9870895765852097,-1.0874537591097875,-0.10442743327949702,-1.3027987264149463,-0.7324799891645353,-0.9582564749087101,-0.2135834173806131,-0.12328119525403941,-1.379210082932177,-5.079395907025452,-4.161996346159989,-2.568348805792573,-0.5563680980605408,-4.401424793088438,-1.5233734228874574,-0.5129454182144235,-1.1658287557137479,-1.4435277087415088,3.0
25%,0.32975534388680733,0.4927100324032893,-1.6798546150864755,-0.9870895765852097,-1.0874537591097875,0.7756266654641903,-1.3027987264149463,-0.7324799891645353,-0.9582564749087101,0.12774668125951322,0.27846376004956097,-1.379210082932177,-0.9529070811208714,-0.4039310860539343,-0.22401231223466633,-0.5563680980605408,0.3472621509974969,-1.5233734228874574,0.6162191396073494,0.06932846078798073,-0.8497273534064279,3.0
50%,0.5956909479389042,0.4927100324032893,-1.6798546150864755,-0.9870895765852097,-1.0874537591097875,1.081285862121359,-1.3027987264149463,-0.7324799891645353,-0.9582564749087101,0.6995922068580135,0.7846025455675872,-1.379210082932177,-0.1075973370729475,0.031516621026071424,0.26663714554931056,-0.5563680980605408,0.3472621509974969,-1.5233734228874574,1.0680614146209018,0.8256832321414852,-0.6478463478585874,3.0
75%,0.9017187087144513,0.4927100324032893,-1.6798546150864755,-0.9870895765852097,-1.0874537591097875,1.2918952632280005,-1.3027987264149463,-0.7324799891645353,-0.9582564749087101,1.4227799099990142,1.3669962526881514,-1.379210082932177,0.7379156063253097,0.5288942982878173,0.8562428286759245,-0.5563680980605408,0.3472621509974969,-1.5233734228874574,1.3803677515441883,1.3364461428948444,0.15692148528827674,3.0
max,1.7017453969281315,0.4927100324032893,0.439969828298068,0.9175811525826887,0.5400531836184665,1.9220552770571622,-0.2653640086876752,0.595324224895139,0.06248407530726905,5.122792882749302,3.9659866255656473,0.03725452534468064,2.144173011194131,2.3954340112205785,4.290150373031595,2.7192976514971123,0.3472621509974969,0.3343378672540086,2.3097749734144393,10.115582142892473,5.590956654085349,3.0
