,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,MONTHLY_AVG_PURCHASE,MONTHLY_CASH_ADVANCE,LIMIT_RATIO,PAYMENT_MIN_RATIO,labels
count,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0
mean,0.04650472880346136,0.32196499761521535,0.9744057462650302,1.2271825308976159,0.6908418203550207,-0.7686852908086786,0.9672221855911285,1.4985288392969762,0.5928567357700858,-0.6521106779363409,-0.7122603089958564,1.146501943078359,0.6735756913137647,0.657052173451727,-0.24654884250492679,0.6412913054183088,0.2549592823674866,1.1113699618545434,-0.7552521750390353,-0.5630944864661082,0.9161107059956679,4.0
std,0.6713914311400963,0.44696554164247543,0.28572792433361327,0.332946254547622,0.8781437601390742,0.4854786430589513,0.3768333935607085,0.8892616276113487,0.9198647215671876,0.2376060835603807,0.3123374656104952,0.5427118449864646,0.8206059232133668,0.5506403370245296,0.7293588179263149,1.279941334634498,0.4824863460281085,0.4131282102764146,0.42018970967527747,0.6122478102147845,0.8856602725413456,0.0
min,-2.6693889367160937,-3.0480667667884176,0.14040184778068351,-0.9870895765852097,-1.0874537591097875,-0.9307329425951407,-0.7469013740517891,-0.7324799891645353,-0.9582564749087101,-0.7243603600361622,-0.8100687325890296,-0.5795095284785797,-2.913352253169547,-4.161996346159989,-3.7938697384235787,-0.5563680980605408,-4.401424793088438,-0.0867057234661932,-0.8906673735903238,-1.1821559779938324,-1.4435277087415088,4.0
25%,-0.4158675393816095,0.4927100324032893,0.7902144049086508,1.039483794852614,0.5783789422855631,-0.9307329425951407,0.8830402407388402,0.8751412533510002,-0.16650790558846362,-0.7243603600361622,-0.8100687325890296,0.7641024473225531,0.24330497184046584,0.3088252582028737,-0.6564941828647419,-0.5563680980605408,0.3472621509974969,0.843499924087639,-0.8906673735903238,-1.0416004549282647,0.31528842226095755,4.0
50%,0.010260115439036668,0.4927100324032893,0.9736628812805121,1.2394378316942447,1.0013283289219,-0.9307329425951407,1.1968202744632475,1.625252159729653,0.8542342412986399,-0.7243603600361622,-0.8100687325890296,1.1204538109995101,0.8067385920581008,0.6456549057965348,-0.5132244982509733,0.1721164896970438,0.3472621509974969,1.1088804232362142,-0.8906673735903238,-0.7815757151068825,0.9586694759675047,4.0
75%,0.5593576180711733,0.4927100324032893,1.1524188558626576,1.4291992269082865,1.2624648240764516,-0.9307329425951407,1.1968202744632475,2.4667619353593593,1.5011392159124561,-0.7243603600361622,-0.8100687325890296,1.4969745593874746,1.232560121007248,1.0130819807642966,0.10182273608312017,1.990815201595172,0.3472621509974969,1.3660070422885677,-0.8906673735903238,-0.2503289668430623,1.4913269821195805,4.0
max,1.8343409027356652,0.4927100324032893,2.0230870324938985,2.283061707681884,2.163263824868961,1.2968536589377457,1.1968202744632475,2.4667619353593593,1.5011392159124561,2.2080655888919947,2.1073549431464387,2.9033709737636904,2.701445249222329,2.644753398498364,3.2889317545853656,2.7192976514971123,0.3472621509974969,2.6288586026251815,1.3577569362760822,1.7005553274628744,4.926854004662254,4.0
